"filename", "language", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\Button.js", "JavaScript", -87, 0, -7, -20, -114
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\Encounter.js", "JavaScript", 607, 0, 59, 70, 736
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\GameManager.js", "JavaScript", -184, 0, -26, -21, -231
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\GameObject.js", "JavaScript", 2, 0, 0, 0, 2
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\Ship.js", "JavaScript", 31, 0, 1, 7, 39
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\Sprite.js", "JavaScript", 49, 0, 13, 15, 77
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\TacticalView.js", "JavaScript", -18, 0, 29, 7, 18
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\TorpedoButton.js", "JavaScript", -99, 0, -17, -8, -124
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\UI.js", "JavaScript", -4, 0, 1, -1, -4
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\Uboat.js", "JavaScript", 91, 0, 4, 8, 103
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\buttons\BeginPatrolButton.js", "JavaScript", 12, 0, 1, 2, 15
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\buttons\Button.js", "JavaScript", 79, 0, 14, 13, 106
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\buttons\ContinuePatrolButton.js", "JavaScript", 11, 0, 1, 2, 14
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\buttons\DeckGunButton.js", "JavaScript", 73, 0, 6, 8, 87
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\buttons\FireAttackButton.js", "JavaScript", 11, 0, 1, 2, 14
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\buttons\OpenStatusButton.js", "JavaScript", 12, 0, 1, 2, 15
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\buttons\ReloadButton.js", "JavaScript", 18, 0, 1, 5, 24
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\buttons\TorpedoButton.js", "JavaScript", 172, 0, 25, 8, 205
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\index.html", "HTML", 0, 9, 2, 3, 14
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\main.js", "JavaScript", 5, 0, 3, 4, 12
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\popups\EncounterPopup.js", "JavaScript", 4, 0, 1, -1, 4
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\popups\EscortDetectionStartPopup.js", "JavaScript", 69, 0, 7, 13, 89
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\popups\RoundResultsPopup.js", "JavaScript", 85, 0, 7, 11, 103
"Total", "-", 939, 9, 127, 129, 1204
